contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY270319C00330000,2026-02-19 18:28:33+00:00,330.0,361.83,344.5,348.17,0.0,0.0,2.0,2,0.5190782955932617,True,REGULAR,USD
SPY270319C00340000,2026-02-27 20:30:27+00:00,340.0,355.45,334.95,338.84,0.0,0.0,3.0,3,0.5090686300659181,True,REGULAR,USD
SPY270319C00345000,2026-03-02 16:39:38+00:00,345.0,350.0,329.55,334.5,0.0,0.0,,6,0.5079547496032715,True,REGULAR,USD
SPY270319C00350000,2026-02-24 19:52:02+00:00,350.0,348.09,324.64,329.5,0.0,0.0,1.0,4,0.49876905044555664,True,REGULAR,USD
SPY270319C00355000,2026-02-04 15:53:13+00:00,355.0,346.08,321.01,324.89,0.0,0.0,7.0,7,0.4942677526855469,True,REGULAR,USD
SPY270319C00360000,2026-02-27 20:35:42+00:00,360.0,336.34,315.5,320.34,0.0,0.0,1.0,2,0.4903615417480469,True,REGULAR,USD
SPY270319C00365000,2025-12-23 17:39:15+00:00,365.0,336.12,336.5,341.32,0.0,0.0,,1,0.6905243350219729,True,REGULAR,USD
SPY270319C00370000,2026-01-21 20:19:20+00:00,370.0,330.0,307.25,311.14,0.0,0.0,1.0,2,0.48120635986328125,True,REGULAR,USD
SPY270319C00380000,2026-01-30 15:35:33+00:00,380.0,326.4,297.83,301.71,0.0,0.0,2.0,2,0.4694877270507813,True,REGULAR,USD
SPY270319C00400000,2026-03-06 21:07:02+00:00,400.0,286.21,279.0,283.71,0.0,0.0,1.0,5,0.4540154696655273,True,REGULAR,USD
SPY270319C00410000,2026-03-06 20:37:34+00:00,410.0,277.0,269.55,274.5,0.0,0.0,3.0,27,0.4439447695922851,True,REGULAR,USD
SPY270319C00415000,2026-02-17 20:52:43+00:00,415.0,283.02,265.0,269.74,0.0,0.0,8.0,12,0.43753614227294924,True,REGULAR,USD
SPY270319C00420000,2026-03-02 15:38:25+00:00,420.0,279.0,261.12,265.01,0.0,0.0,1.0,1,0.4314174290466309,True,REGULAR,USD
