contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY280616P00050000,2026-03-09 13:30:01+00:00,50.0,0.15,0.09,0.16,0.060000002,66.666664,2.0,149,0.6171913281250001,False,REGULAR,USD
SPY280616P00060000,2026-03-04 16:20:15+00:00,60.0,0.16,0.15,0.22,0.0,0.0,2.0,24,0.5952188916015625,False,REGULAR,USD
SPY280616P00065000,2026-02-20 15:43:32+00:00,65.0,0.19,0.18,0.25,0.0,0.0,1.0,71,0.5839885351562499,False,REGULAR,USD
SPY280616P00070000,2026-03-03 16:43:46+00:00,70.0,0.23,0.21,0.28,0.0,0.0,1.0,256,0.5727581787109376,False,REGULAR,USD
SPY280616P00075000,2025-12-22 15:20:53+00:00,75.0,0.22,0.19,0.25,0.0,0.0,10.0,10,0.5483443603515626,False,REGULAR,USD
SPY280616P00095000,2026-02-05 15:15:13+00:00,95.0,0.36,0.45,0.51,0.0,0.0,2.0,7,0.5334519311523438,False,REGULAR,USD
SPY280616P00100000,2026-03-06 14:46:38+00:00,100.0,0.5,0.51,0.57,0.0,0.0,1.0,122,0.5268602001953125,False,REGULAR,USD
SPY280616P00105000,2026-02-26 15:54:21+00:00,105.0,0.43,0.57,0.64,0.0,0.0,1.0,1,0.5205126074218749,False,REGULAR,USD
SPY280616P00110000,2026-03-09 14:29:50+00:00,110.0,0.65,0.63,0.7,0.18999997,41.30434,2.0,9,0.5134326000976561,False,REGULAR,USD
SPY280616P00120000,2026-03-05 15:12:07+00:00,120.0,0.67,0.79,0.85,0.0,0.0,1.0,3,0.5023243127441408,False,REGULAR,USD
SPY280616P00130000,2026-01-30 20:48:15+00:00,130.0,0.68,0.96,1.02,0.0,0.0,6.0,6,0.4935353381347657,False,REGULAR,USD
SPY280616P00135000,2026-02-09 14:31:09+00:00,135.0,0.82,1.03,1.1,0.0,0.0,44.0,7,0.4875539526367188,False,REGULAR,USD
SPY280616P00140000,2026-02-09 15:04:54+00:00,140.0,0.88,1.11,1.18,0.0,0.0,132.0,3,0.4813284289550781,False,REGULAR,USD
SPY280616P00145000,2025-12-29 20:02:57+00:00,145.0,0.98,0.9,0.95,0.0,0.0,1.0,51,0.45654840332031255,False,REGULAR,USD
SPY280616P00150000,2026-02-06 15:16:07+00:00,150.0,1.03,1.28,1.35,0.0,0.0,1.0,429,0.4696708306884766,False,REGULAR,USD
SPY280616P00155000,2026-01-30 18:27:05+00:00,155.0,1.05,1.37,1.44,0.0,0.0,100.0,349,0.46405565246582037,False,REGULAR,USD
SPY280616P00160000,2026-01-16 20:04:39+00:00,160.0,1.05,1.46,1.53,0.0,0.0,,621,0.45844047424316414,False,REGULAR,USD
SPY280616P00165000,2026-01-16 20:05:04+00:00,165.0,1.12,1.56,1.62,0.0,0.0,941.0,942,0.4528252960205078,False,REGULAR,USD
SPY280616P00180000,2026-01-12 20:40:33+00:00,180.0,1.46,1.55,1.6,0.0,0.0,8.0,9,0.424810439453125,False,REGULAR,USD
SPY280616P00190000,2025-12-23 17:12:42+00:00,190.0,1.71,1.65,1.71,0.0,0.0,,10,0.4122983575439453,False,REGULAR,USD
SPY280616P00195000,2026-02-27 19:09:18+00:00,195.0,1.94,2.23,2.3,0.0,0.0,1.0,8,0.42407802490234375,False,REGULAR,USD
SPY280616P00200000,2026-03-06 17:06:49+00:00,200.0,2.16,2.36,2.43,0.0,0.0,5.0,82,0.41968353759765625,False,REGULAR,USD
SPY280616P00205000,2026-03-05 14:46:22+00:00,205.0,2.16,2.48,2.55,0.0,0.0,1.0,1561,0.4149533602905273,False,REGULAR,USD
SPY280616P00210000,2026-02-03 17:23:25+00:00,210.0,2.06,2.62,2.7,0.0,0.0,1.0,4,0.4110166320800781,False,REGULAR,USD
