contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260410C00515000,2026-03-04 19:00:03+00:00,515.0,172.78,151.03,154.37,0.0,0.0,,1,0.49414568359375005,True,REGULAR,USD
SPY260410C00520000,2026-03-09 14:35:34+00:00,520.0,146.79,146.12,149.51,-20.740005,-12.379875,4.0,4,0.4875539526367188,True,REGULAR,USD
SPY260410C00545000,2026-03-03 20:48:59+00:00,545.0,137.33,121.91,125.07,0.0,0.0,,1,0.43836010864257813,True,REGULAR,USD
SPY260410C00550000,2026-03-09 14:07:52+00:00,550.0,116.61,117.1,120.27,-6.739998,-5.4641247,2.0,1,0.43115803222656257,True,REGULAR,USD
SPY260410C00601000,2026-03-03 14:57:14+00:00,601.0,76.72,70.47,71.06,0.0,0.0,,1,0.3175117077636719,True,REGULAR,USD
SPY260410C00605000,2026-03-02 15:54:20+00:00,605.0,81.89,66.67,67.2,0.0,0.0,,3,0.3067085931396484,True,REGULAR,USD
SPY260410C00611000,2026-03-05 20:49:28+00:00,611.0,73.26,61.52,62.06,0.0,0.0,,1,0.3039620385742187,True,REGULAR,USD
SPY260410C00615000,2026-03-03 14:54:52+00:00,615.0,64.66,57.64,58.21,0.0,0.0,,2,0.292151853942871,True,REGULAR,USD
SPY260410C00620000,2026-03-09 14:22:24+00:00,620.0,52.52,53.67,54.07,-10.099998,-16.12903,36.0,1,0.289771506652832,True,REGULAR,USD
SPY260410C00629000,2026-03-03 20:40:01+00:00,629.0,57.54,45.7,46.16,0.0,0.0,,2,0.2730175238037109,True,REGULAR,USD
SPY260410C00630000,2026-03-09 14:11:08+00:00,630.0,43.58,44.92,45.28,-6.0899963,-12.260915,1.0,2,0.27091183197021484,True,REGULAR,USD
SPY260410C00633000,2026-03-03 15:25:18+00:00,633.0,47.21,42.75,43.2,0.0,0.0,,2,0.2732006274414062,True,REGULAR,USD
SPY260410C00634000,2026-03-06 21:04:36+00:00,634.0,47.07,41.87,42.45,0.0,0.0,4.0,2,0.2728649374389648,True,REGULAR,USD
SPY260410C00635000,2026-03-09 14:30:03+00:00,635.0,40.32,41.15,41.49,-5.040001,-11.111113,163.0,8,0.26914183013916015,True,REGULAR,USD
SPY260410C00636000,2026-03-03 15:36:37+00:00,636.0,45.33,40.22,40.7,0.0,0.0,,33,0.268012691040039,True,REGULAR,USD
SPY260410C00637000,2026-03-06 21:11:46+00:00,637.0,44.79,39.51,40.02,0.0,0.0,1.0,5,0.2685009674072265,True,REGULAR,USD
SPY260410C00639000,2026-03-06 17:13:34+00:00,639.0,44.0,37.45,38.11,0.0,0.0,2.0,20,0.26093268371582035,True,REGULAR,USD
SPY260410C00640000,2026-03-06 14:45:14+00:00,640.0,37.34,37.15,37.52,-4.0999985,-9.893819,1.0,14,0.2625195819091797,True,REGULAR,USD
SPY260410C00641000,2026-03-05 20:08:55+00:00,641.0,45.0,36.25,36.71,0.0,0.0,,2,0.260749580078125,True,REGULAR,USD
SPY260410C00642000,2026-03-03 20:29:10+00:00,642.0,46.47,35.57,36.0,0.0,0.0,,1,0.26035285552978515,True,REGULAR,USD
SPY260410C00644000,2026-03-05 15:45:58+00:00,644.0,44.74,34.01,34.39,0.0,0.0,,5,0.25659923095703124,True,REGULAR,USD
SPY260410C00645000,2026-03-09 14:25:05+00:00,645.0,33.02,33.27,33.62,-5.1499977,-13.492266,23.0,7,0.25510388458251965,True,REGULAR,USD
SPY260410C00647000,2026-03-05 14:47:24+00:00,647.0,43.17,31.76,32.17,0.0,0.0,,2,0.2531507791137696,True,REGULAR,USD
SPY260410C00648000,2026-03-05 14:47:24+00:00,648.0,42.32,31.01,31.41,0.0,0.0,,2,0.25156388092041015,True,REGULAR,USD
SPY260410C00649000,2026-03-03 15:52:22+00:00,649.0,34.77,30.22,30.57,0.0,0.0,,2,0.2488173263549805,True,REGULAR,USD
SPY260410C00650000,2026-03-09 14:35:53+00:00,650.0,29.01,29.52,29.83,-5.99,-17.114286,22.0,82,0.24735249725341796,True,REGULAR,USD
SPY260410C00651000,2026-03-09 13:47:46+00:00,651.0,28.6,28.63,28.99,-9.699999,-25.326368,4.0,2,0.24448387359619145,True,REGULAR,USD
SPY260410C00652000,2026-03-05 17:18:13+00:00,652.0,27.13,28.04,28.43,-9.660002,-26.25714,1.0,5,0.2452468054199219,True,REGULAR,USD
SPY260410C00653000,2026-03-03 20:40:01+00:00,653.0,37.04,27.11,27.68,0.0,0.0,,3,0.24341576904296874,True,REGULAR,USD
SPY260410C00654000,2026-03-06 15:31:25+00:00,654.0,32.11,26.47,26.89,0.0,0.0,10.0,37,0.24095912857055662,True,REGULAR,USD
