contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260402P00400000,2026-03-09 13:30:02+00:00,400.0,0.34,0.29,0.31,0.11,47.826088,16.0,12,0.8164080859374999,False,REGULAR,USD
SPY260402P00410000,2026-03-09 13:33:47+00:00,410.0,0.36,0.33,0.34,0.100000024,38.461548,6.0,2,0.7915059912109376,False,REGULAR,USD
SPY260402P00420000,2026-03-09 14:03:56+00:00,420.0,0.4,0.37,0.38,0.08000001,25.000004,10.0,4,0.7670921728515626,False,REGULAR,USD
SPY260402P00425000,2026-03-09 13:55:09+00:00,425.0,0.44,0.39,0.4,-0.030000001,-6.382979,3.0,1,0.7543969873046875,False,REGULAR,USD
SPY260402P00430000,2026-03-09 13:52:53+00:00,430.0,0.49,0.4,0.42,0.0,0.0,2.0,1,0.7402369726562499,False,REGULAR,USD
SPY260402P00450000,2026-03-09 14:38:57+00:00,450.0,0.51,0.51,0.52,-0.00999999,-1.9230752,35.0,21,0.6928741650390625,False,REGULAR,USD
SPY260402P00465000,2026-03-09 14:03:23+00:00,465.0,0.71,0.61,0.62,0.26,57.77778,13.0,169,0.65820654296875,False,REGULAR,USD
SPY260402P00470000,2026-03-09 13:46:35+00:00,470.0,0.76,0.64,0.66,0.00999999,1.3333321,2.0,3,0.64648791015625,False,REGULAR,USD
SPY260402P00475000,2026-03-06 20:40:09+00:00,475.0,0.63,0.69,0.71,0.0,0.0,24.0,14,0.6364782446289063,False,REGULAR,USD
SPY260402P00480000,2026-03-09 14:03:25+00:00,480.0,0.78,0.71,0.73,0.099999964,14.705876,25.0,335,0.622074091796875,False,REGULAR,USD
SPY260402P00485000,2026-03-09 14:10:52+00:00,485.0,0.93,0.75,0.77,0.23000002,32.857147,453.0,550,0.6101113208007813,False,REGULAR,USD
SPY260402P00495000,2026-03-09 14:28:47+00:00,495.0,0.98,0.84,0.86,0.20000005,25.641031,71.0,55,0.5866740551757812,False,REGULAR,USD
SPY260402P00500000,2026-03-09 14:38:33+00:00,500.0,0.91,0.89,0.91,-0.109999955,-10.784309,79.0,1101,0.5749554223632812,False,REGULAR,USD
SPY260402P00505000,2026-03-09 14:08:25+00:00,505.0,1.2,0.95,0.97,0.1500001,14.285724,70.0,272,0.5642133422851563,False,REGULAR,USD
SPY260402P00510000,2026-03-09 14:01:46+00:00,510.0,1.14,1.0,1.02,-0.029999971,-2.5641003,27.0,553,0.5518843640136719,False,REGULAR,USD
SPY260402P00515000,2026-03-09 13:41:02+00:00,515.0,1.27,1.07,1.1,0.45,54.878048,5.0,411,0.5416305603027345,False,REGULAR,USD
SPY260402P00520000,2026-03-09 13:31:14+00:00,520.0,1.26,1.13,1.16,-0.00999999,-0.78740084,2.0,381,0.5295457202148439,False,REGULAR,USD
SPY260402P00525000,2026-03-09 14:05:38+00:00,525.0,1.33,1.23,1.26,0.22000003,19.819822,38.0,178,0.5205126074218749,False,REGULAR,USD
SPY260402P00530000,2026-03-09 14:27:45+00:00,530.0,1.47,1.28,1.31,0.48000002,48.484848,53.0,137,0.5069629382324219,False,REGULAR,USD
SPY260402P00535000,2026-03-09 13:50:42+00:00,535.0,1.66,1.38,1.4,0.38,29.6875,7.0,162,0.497197410888672,False,REGULAR,USD
SPY260402P00540000,2026-03-09 14:05:56+00:00,540.0,1.72,1.46,1.49,0.08000004,4.8780513,13.0,119,0.4858449853515625,False,REGULAR,USD
SPY260402P00545000,2026-03-09 14:26:23+00:00,545.0,1.73,1.54,1.58,0.47000003,37.30159,131.0,302,0.47400428344726564,False,REGULAR,USD
SPY260402P00550000,2026-03-09 14:06:57+00:00,550.0,2.04,1.67,1.71,0.14999998,7.936507,275.0,529,0.46411668701171876,False,REGULAR,USD
SPY260402P00555000,2026-03-09 14:05:56+00:00,555.0,2.12,1.78,1.81,0.20999992,10.9947605,15.0,269,0.45203184692382814,False,REGULAR,USD
SPY260402P00560000,2026-03-09 14:24:33+00:00,560.0,2.13,1.93,1.97,0.120000124,5.9701552,16.0,343,0.4425104577636719,False,REGULAR,USD
SPY260402P00565000,2026-03-09 14:16:17+00:00,565.0,2.6,2.06,2.1,0.7099999,37.566135,18.0,389,0.4308528594970704,False,REGULAR,USD
SPY260402P00570000,2026-03-09 14:26:15+00:00,570.0,2.5,2.25,2.29,0.29999995,13.636362,65.0,811,0.42139250488281255,False,REGULAR,USD
SPY260402P00575000,2026-03-09 14:07:49+00:00,575.0,2.9,2.45,2.48,0.31000018,11.96912,59.0,613,0.41107766662597656,False,REGULAR,USD
SPY260402P00580000,2026-03-09 14:31:11+00:00,580.0,3.01,2.66,2.7,0.17000008,5.9859185,102.0,1859,0.4011900701904296,False,REGULAR,USD
SPY260402P00585000,2026-03-09 14:31:11+00:00,585.0,3.28,2.9,2.94,0.13999987,4.4585943,61.0,520,0.39124143920898435,False,REGULAR,USD
SPY260402P00590000,2026-03-09 14:31:11+00:00,590.0,3.59,3.16,3.21,0.2099998,6.2130117,135.0,23187,0.3813538427734374,False,REGULAR,USD
SPY260402P00595000,2026-03-09 14:16:47+00:00,595.0,3.88,3.46,3.52,0.6500001,20.12384,126.0,5597,0.37183245361328127,False,REGULAR,USD
SPY260402P00600000,2026-03-09 14:36:22+00:00,600.0,4.12,3.84,3.9,0.17999983,4.5685234,162.0,6045,0.36331813446044925,False,REGULAR,USD
SPY260402P00605000,2026-03-09 14:31:11+00:00,605.0,4.77,4.24,4.29,0.26999998,5.9999995,139.0,2276,0.35388829711914055,False,REGULAR,USD
SPY260402P00610000,2026-03-09 14:35:47+00:00,610.0,5.08,4.71,4.75,0.17999983,3.6734657,186.0,1876,0.3450077706909179,False,REGULAR,USD
SPY260402P00615000,2026-03-09 14:38:39+00:00,615.0,5.29,5.22,5.28,-0.11000013,-2.0370395,78.0,419,0.33649345153808596,False,REGULAR,USD
SPY260402P00620000,2026-03-09 14:35:45+00:00,620.0,6.3,5.81,5.87,0.35000038,5.8823595,219.0,1824,0.32782654602050776,False,REGULAR,USD
SPY260402P00625000,2026-03-09 14:38:39+00:00,625.0,6.54,6.48,6.55,-0.01999998,-0.30487776,132.0,5189,0.3195563650512695,False,REGULAR,USD
SPY260402P00630000,2026-03-09 14:31:41+00:00,630.0,7.89,7.21,7.28,0.5899997,8.082188,752.0,3065,0.31058428680419914,False,REGULAR,USD
SPY260402P00635000,2026-03-09 14:38:56+00:00,635.0,8.06,8.05,8.12,0.22000027,2.8061259,768.0,1710,0.3019478985595704,False,REGULAR,USD
SPY260402P00640000,2026-03-09 14:38:56+00:00,640.0,9.01,9.05,9.13,0.39000034,4.524366,136.0,1241,0.294379614868164,False,REGULAR,USD
SPY260402P00645000,2026-03-09 14:15:23+00:00,645.0,11.57,10.14,10.22,1.8699999,19.278349,62.0,9728,0.2860483993530273,False,REGULAR,USD
SPY260402P00650000,2026-03-09 14:33:37+00:00,650.0,12.23,11.31,11.39,1.5899992,14.943602,294.0,9723,0.276801665649414,False,REGULAR,USD
SPY260402P00655000,2026-03-09 14:25:50+00:00,655.0,13.19,12.65,12.74,1.0899992,9.008258,613.0,1850,0.26798217376708977,False,REGULAR,USD
SPY260402P00656000,2026-03-09 14:16:52+00:00,656.0,14.74,12.91,13.0,2.7399998,22.83333,15.0,108,0.26578493011474613,False,REGULAR,USD
SPY260402P00657000,2026-03-09 14:31:30+00:00,657.0,14.26,13.27,13.37,1.75,13.988809,114.0,23238,0.26511355010986326,False,REGULAR,USD
SPY260402P00658000,2026-03-09 14:37:46+00:00,658.0,13.86,13.53,13.62,1.3399992,10.702868,75.0,316,0.2625500991821289,False,REGULAR,USD
SPY260402P00659000,2026-03-09 14:25:48+00:00,659.0,14.43,13.84,13.93,2.0700006,16.747578,19.0,250,0.260749580078125,False,REGULAR,USD
SPY260402P00660000,2026-03-09 14:38:59+00:00,660.0,14.15,14.13,14.19,0.7599993,5.675872,496.0,4008,0.2581250946044922,False,REGULAR,USD
SPY260402P00661000,2026-03-09 14:22:29+00:00,661.0,15.69,14.48,14.58,2.6899996,20.692305,36.0,125,0.2573011282348633,False,REGULAR,USD
SPY260402P00662000,2026-03-09 14:30:56+00:00,662.0,16.06,14.78,14.88,2.459999,18.088228,32.0,347,0.25501233276367197,False,REGULAR,USD
SPY260402P00663000,2026-03-09 14:36:57+00:00,663.0,15.57,15.23,15.37,3.9299994,33.762882,89.0,168,0.2554090573120118,False,REGULAR,USD
SPY260402P00664000,2026-03-09 14:36:23+00:00,664.0,16.3,15.57,15.67,1.7699995,12.18169,86.0,460,0.2529066409301758,False,REGULAR,USD
SPY260402P00665000,2026-03-09 14:38:19+00:00,665.0,16.0,15.78,15.87,1.6400003,11.420615,130.0,831,0.2488173263549805,False,REGULAR,USD
SPY260402P00666000,2026-03-09 14:04:05+00:00,666.0,16.95,16.2,16.3,2.250001,15.3061285,31.0,428,0.24796284271240232,False,REGULAR,USD
SPY260402P00667000,2026-03-09 14:25:25+00:00,667.0,17.38,16.59,16.69,2.3899994,15.943959,13.0,258,0.246375944519043,False,REGULAR,USD
SPY260402P00668000,2026-03-09 13:47:15+00:00,668.0,19.45,16.98,17.08,3.920001,25.241474,4.0,186,0.24469749450683598,True,REGULAR,USD
SPY260402P00669000,2026-03-09 13:36:05+00:00,669.0,18.2,17.37,17.47,3.9400005,27.629738,7.0,468,0.24286645812988278,True,REGULAR,USD
SPY260402P00670000,2026-03-09 14:38:16+00:00,670.0,17.97,17.7,17.8,1.6700001,10.245399,638.0,17275,0.24002835174560544,True,REGULAR,USD
SPY260402P00671000,2026-03-09 14:20:19+00:00,671.0,19.92,18.18,18.28,3.5,21.31547,17.0,408,0.23923490264892577,True,REGULAR,USD
SPY260402P00672000,2026-03-09 14:31:22+00:00,672.0,20.06,18.27,18.81,3.3799992,20.263783,44.0,1268,0.23899076446533202,True,REGULAR,USD
SPY260402P00673000,2026-03-09 14:22:56+00:00,673.0,20.14,19.02,19.53,3.039999,17.777773,10.0,715,0.24137111175537107,True,REGULAR,USD
SPY260402P00674000,2026-03-09 13:58:46+00:00,674.0,21.0,19.47,19.89,3.0699997,17.122139,14.0,653,0.23841093627929685,True,REGULAR,USD
SPY260402P00675000,2026-03-09 14:39:28+00:00,675.0,20.0,19.7,20.08,1.6599998,9.051253,35.0,837,0.23285679260253905,True,REGULAR,USD
SPY260402P00676000,2026-03-09 14:20:51+00:00,676.0,22.15,20.36,20.98,3.9799995,21.904234,2.0,219,0.23743438354492186,True,REGULAR,USD
SPY260402P00677000,2026-03-09 14:20:57+00:00,677.0,22.59,20.45,21.08,3.5900002,18.894737,24.0,216,0.23023230712890624,True,REGULAR,USD
