contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260410P00400000,2026-03-09 14:10:18+00:00,400.0,0.5,0.41,0.42,0.03999999,8.69565,6.0,53.0,0.7402369726562499,False,REGULAR,USD
SPY260410P00405000,2026-03-06 15:23:20+00:00,405.0,0.3,0.44,0.46,0.0,0.0,3.0,3.0,0.7319362744140624,False,REGULAR,USD
SPY260410P00410000,2026-03-06 18:23:43+00:00,410.0,0.32,0.47,0.49,0.0,0.0,2.0,1.0,0.7216824707031251,False,REGULAR,USD
SPY260410P00415000,2026-03-06 18:26:49+00:00,415.0,0.35,0.5,0.51,0.0,0.0,1.0,1.0,0.7104521142578125,False,REGULAR,USD
SPY260410P00420000,2026-03-06 21:00:00+00:00,420.0,0.58,0.53,0.54,0.0,0.0,2.0,,0.6999541723632813,False,REGULAR,USD
SPY260410P00425000,2026-03-06 15:29:33+00:00,425.0,0.38,0.56,0.57,0.0,0.0,1.0,1.0,0.6889679541015626,False,REGULAR,USD
SPY260410P00435000,2026-03-06 20:30:50+00:00,435.0,0.54,0.6,0.62,0.0,0.0,30.0,30.0,0.6645541357421877,False,REGULAR,USD
SPY260410P00440000,2026-03-06 19:27:11+00:00,440.0,0.75,0.65,0.67,0.26,53.061222,1.0,15.0,0.6562534375000001,False,REGULAR,USD
SPY260410P00450000,2026-03-09 14:35:57+00:00,450.0,0.78,0.72,0.74,-0.030000031,-3.7037075,15.0,62.0,0.6342810009765626,False,REGULAR,USD
SPY260410P00455000,2026-03-06 14:32:24+00:00,455.0,0.6,0.76,0.77,0.0,0.0,5.0,5.0,0.62305064453125,False,REGULAR,USD
SPY260410P00460000,2026-03-09 14:20:08+00:00,460.0,0.92,0.81,0.83,0.31,50.81967,4.0,4.0,0.6140175317382813,False,REGULAR,USD
SPY260410P00465000,2026-03-06 15:59:03+00:00,465.0,0.98,0.84,0.85,0.41000003,71.92983,1.0,1.0,0.6013223461914063,False,REGULAR,USD
SPY260410P00470000,2026-03-09 14:04:28+00:00,470.0,0.95,0.88,0.9,0.089999974,10.465113,3.0,207.0,0.5905802661132813,False,REGULAR,USD
SPY260410P00480000,2026-03-09 14:03:39+00:00,480.0,1.11,0.99,1.0,0.05000007,4.716988,19.0,131.0,0.5700726586914062,False,REGULAR,USD
SPY260410P00485000,2026-03-09 13:37:34+00:00,485.0,1.21,1.04,1.07,0.37000006,44.04763,1.0,2.0,0.5600629931640625,False,REGULAR,USD
SPY260410P00490000,2026-03-06 20:52:40+00:00,490.0,1.15,1.11,1.13,0.0,0.0,45.0,35.0,0.5502974658203126,False,REGULAR,USD
SPY260410P00495000,2026-03-09 13:44:16+00:00,495.0,1.35,1.16,1.18,0.100000024,8.000002,3.0,4.0,0.5388229711914063,False,REGULAR,USD
SPY260410P00500000,2026-03-09 14:08:12+00:00,500.0,1.45,1.23,1.25,0.20000005,16.000004,4.0,507.0,0.5288133056640626,False,REGULAR,USD
SPY260410P00505000,2026-03-09 13:34:07+00:00,505.0,1.45,1.29,1.32,-0.00999999,-0.68493086,4.0,358.0,0.5181932946777343,False,REGULAR,USD
SPY260410P00510000,2026-03-09 14:18:24+00:00,510.0,1.54,1.41,1.42,0.06999993,4.7619,9.0,157.0,0.5102588037109376,False,REGULAR,USD
SPY260410P00515000,2026-03-09 14:35:54+00:00,515.0,1.56,1.44,1.47,0.049999952,3.3112552,13.0,152.0,0.4982960327148438,False,REGULAR,USD
SPY260410P00520000,2026-03-09 13:34:48+00:00,520.0,1.82,1.55,1.57,0.20000005,12.345681,5.0,282.0,0.48901878173828134,False,REGULAR,USD
SPY260410P00525000,2026-03-06 20:46:32+00:00,525.0,1.74,1.62,1.65,0.21000004,13.7254925,501.0,148.0,0.4781546325683594,False,REGULAR,USD
SPY260410P00530000,2026-03-09 14:28:37+00:00,530.0,1.96,1.72,1.75,0.08000004,4.255321,3.0,257.0,0.46802289794921875,False,REGULAR,USD
SPY260410P00535000,2026-03-09 14:38:06+00:00,535.0,1.89,1.83,1.87,0.53,38.970585,5.0,100.0,0.45862357788085945,False,REGULAR,USD
SPY260410P00540000,2026-03-09 14:36:52+00:00,540.0,2.03,1.97,2.0,0.53999996,36.241608,121.0,219.0,0.4492852923583984,False,REGULAR,USD
SPY260410P00545000,2026-03-09 14:11:10+00:00,545.0,2.57,2.08,2.11,0.42999983,20.09345,48.0,383.0,0.43860424682617194,False,REGULAR,USD
SPY260410P00550000,2026-03-09 14:36:50+00:00,550.0,2.29,2.25,2.27,-0.03999996,-1.7167367,67.0,424.0,0.42969320312500003,False,REGULAR,USD
SPY260410P00555000,2026-03-09 14:06:09+00:00,555.0,2.78,2.37,2.41,0.51,22.46696,26.0,282.0,0.4194393994140625,False,REGULAR,USD
SPY260410P00560000,2026-03-09 14:29:08+00:00,560.0,2.95,2.55,2.6,0.33000016,12.595427,22.0,456.0,0.4106504248046875,False,REGULAR,USD
SPY260410P00565000,2026-03-09 14:29:08+00:00,565.0,3.15,2.76,2.8,0.2800002,9.756105,28.0,59.0,0.40161731201171874,False,REGULAR,USD
SPY260410P00570000,2026-03-09 14:36:24+00:00,570.0,3.17,2.95,3.0,0.07000017,2.2580702,15.0,443.0,0.392034888305664,False,REGULAR,USD
SPY260410P00575000,2026-03-09 14:35:07+00:00,575.0,3.45,3.21,3.26,0.85000014,32.692314,272.0,1115.0,0.38373419006347653,False,REGULAR,USD
SPY260410P00580000,2026-03-09 14:36:24+00:00,580.0,3.67,3.47,3.52,0.06000018,1.6620549,36.0,304.0,0.37470107727050783,False,REGULAR,USD
SPY260410P00585000,2026-03-09 14:37:34+00:00,585.0,3.93,3.76,3.8,-0.049999952,-1.2562802,43.0,991.0,0.3656069299316406,False,REGULAR,USD
SPY260410P00590000,2026-03-09 14:37:34+00:00,590.0,4.26,4.1,4.15,0.06000042,1.4285815,196.0,826.0,0.3575503698730469,False,REGULAR,USD
