contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260630P00410000,2026-03-09 14:30:37+00:00,410.0,2.23,2.14,2.17,0.38,20.54054,58.0,2213,0.49207050903320315,False,REGULAR,USD
SPY260630P00420000,2026-03-09 14:10:12+00:00,420.0,2.45,2.32,2.35,0.35000014,16.666676,4.0,288,0.4781546325683594,False,REGULAR,USD
SPY260630P00430000,2026-03-09 14:27:54+00:00,430.0,2.66,2.49,2.52,0.5400002,25.471708,16.0,276,0.46356737609863286,False,REGULAR,USD
SPY260630P00440000,2026-03-06 20:36:36+00:00,440.0,2.5,2.7,2.73,0.0,0.0,40.0,718,0.4500787414550781,False,REGULAR,USD
SPY260630P00445000,2026-03-09 14:14:04+00:00,445.0,3.06,2.81,2.84,0.6099999,24.897955,60.0,641,0.4433039068603516,False,REGULAR,USD
SPY260630P00450000,2026-03-09 14:30:37+00:00,450.0,3.08,2.93,2.97,0.15999985,5.479447,39.0,622,0.43707838317871095,False,REGULAR,USD
SPY260630P00455000,2026-03-06 14:39:55+00:00,455.0,2.64,3.04,3.08,0.0,0.0,1.0,199,0.4301204449462891,False,REGULAR,USD
SPY260630P00460000,2026-03-05 14:49:42+00:00,460.0,2.03,3.19,3.23,0.0,0.0,2.0,320,0.42413905944824215,False,REGULAR,USD
SPY260630P00465000,2026-03-06 18:32:33+00:00,465.0,3.29,3.31,3.35,0.55999994,20.512817,1.0,709,0.4172421557617187,False,REGULAR,USD
SPY260630P00470000,2026-03-06 20:38:44+00:00,470.0,3.25,3.46,3.5,0.0,0.0,3.0,324,0.4110166320800781,False,REGULAR,USD
SPY260630P00475000,2026-03-09 13:58:18+00:00,475.0,3.71,3.62,3.66,1.26,51.42857,1.0,1057,0.40491317749023437,False,REGULAR,USD
SPY260630P00480000,2026-03-09 13:56:41+00:00,480.0,3.95,3.79,3.83,0.76,23.824451,1.0,1624,0.3988707574462891,False,REGULAR,USD
SPY260630P00485000,2026-03-09 14:17:53+00:00,485.0,4.22,3.94,3.98,0.3099997,7.928381,7.0,574,0.3922179919433594,False,REGULAR,USD
SPY260630P00490000,2026-03-03 18:31:48+00:00,490.0,2.86,4.13,4.18,0.0,0.0,55.0,857,0.3865417791748046,False,REGULAR,USD
SPY260630P00495000,2026-03-03 18:02:22+00:00,495.0,3.1,4.32,4.36,0.0,0.0,1.0,800,0.3802552209472656,False,REGULAR,USD
SPY260630P00500000,2026-03-09 13:30:02+00:00,500.0,4.86,4.56,4.61,0.5700002,13.286717,4.0,3857,0.37525038818359374,False,REGULAR,USD
SPY260630P00505000,2026-03-09 14:36:46+00:00,505.0,4.77,4.77,4.81,0.15999985,3.4707124,49.0,303,0.3689943472290039,False,REGULAR,USD
SPY260630P00510000,2026-03-09 14:31:40+00:00,510.0,5.24,4.98,5.03,0.75999975,16.964281,1.0,735,0.36295192718505864,False,REGULAR,USD
SPY260630P00515000,2026-03-06 20:36:45+00:00,515.0,5.33,5.27,5.31,0.4000001,8.113592,2.0,716,0.3578250253295898,False,REGULAR,USD
SPY260630P00520000,2026-03-09 14:05:55+00:00,520.0,5.79,5.53,5.58,0.80999994,16.265059,9.0,375,0.3522403643798828,False,REGULAR,USD
SPY260630P00525000,2026-03-09 14:05:56+00:00,525.0,6.09,5.77,5.82,1.54,33.846153,12.0,296,0.3459538061523437,False,REGULAR,USD
SPY260630P00530000,2026-03-09 14:12:19+00:00,530.0,6.63,6.1,6.14,1.6300001,32.600002,17.0,384,0.34076586975097656,False,REGULAR,USD
SPY260630P00535000,2026-03-09 13:31:54+00:00,535.0,6.53,6.39,6.44,0.36000013,5.8346863,8.0,1194,0.3349981051635742,False,REGULAR,USD
SPY260630P00540000,2026-03-09 14:22:39+00:00,540.0,7.08,6.73,6.79,0.4000001,5.988025,8.0,579,0.32971861694335935,False,REGULAR,USD
SPY260630P00545000,2026-03-06 20:50:35+00:00,545.0,6.98,7.09,7.14,0.21999979,3.2544346,2.0,447,0.3241949905395507,False,REGULAR,USD
SPY260630P00550000,2026-03-09 13:39:04+00:00,550.0,7.86,7.46,7.51,0.46000004,6.2162166,22.0,3566,0.31867136413574215,False,REGULAR,USD
SPY260630P00554000,2026-03-06 20:50:44+00:00,554.0,7.89,7.81,7.87,0.4699998,6.3342285,3.0,97,0.31488722229003896,False,REGULAR,USD
SPY260630P00555000,2026-03-09 13:56:21+00:00,555.0,8.43,7.87,7.91,0.64000034,8.215665,62.0,7633,0.31325454818725584,False,REGULAR,USD
SPY260630P00556000,2026-03-05 21:01:06+00:00,556.0,5.52,7.99,8.05,0.0,0.0,7.0,58,0.3129035995483398,False,REGULAR,USD
SPY260630P00557000,2026-03-06 14:30:29+00:00,557.0,6.89,8.05,8.11,0.0,0.0,1.0,9,0.31153032226562494,False,REGULAR,USD
SPY260630P00558000,2026-03-02 16:07:18+00:00,558.0,5.11,8.11,8.17,0.0,0.0,2.0,22,0.31012652770996096,False,REGULAR,USD
SPY260630P00559000,2026-02-09 14:32:50+00:00,559.0,5.04,8.23,8.3,0.0,0.0,1.0,14,0.3096077340698242,False,REGULAR,USD
SPY260630P00560000,2026-03-09 14:29:18+00:00,560.0,8.87,8.3,8.36,0.6800003,8.302813,20.0,291,0.3081734222412109,False,REGULAR,USD
SPY260630P00561000,2026-03-05 20:11:10+00:00,561.0,6.08,8.36,8.43,0.0,0.0,3.0,276,0.30689169677734374,False,REGULAR,USD
