contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260310C00500000,2026-02-25 16:21:08+00:00,500.0,191.61,164.83,167.57,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00540000,2026-03-06 15:55:25+00:00,540.0,134.7,124.78,127.63,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00555000,2026-03-05 14:53:28+00:00,555.0,128.88,109.81,112.58,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00595000,2026-03-06 20:33:42+00:00,595.0,77.66,69.81,72.66,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00605000,2026-03-06 20:35:26+00:00,605.0,67.26,59.44,62.68,0.0,0.0,3.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00615000,2026-03-09 14:36:40+00:00,615.0,50.91,49.85,52.71,-7.0200005,-12.118074,34.0,41,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00620000,2026-03-06 14:35:00+00:00,620.0,53.0,44.59,47.72,0.0,0.0,18.0,6,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00625000,2026-03-03 14:51:10+00:00,625.0,49.98,39.87,42.68,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00630000,2026-03-09 14:35:49+00:00,630.0,35.1,34.9,37.77,-7.3600006,-17.333963,6.0,23,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00635000,2026-03-09 14:05:48+00:00,635.0,30.37,31.43,31.62,-16.659998,-35.424194,23.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00636000,2026-03-09 14:03:32+00:00,636.0,29.54,30.53,30.72,-7.950001,-21.205656,3.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00637000,2026-03-06 20:26:02+00:00,637.0,36.18,29.25,29.44,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00639000,2026-03-09 13:33:15+00:00,639.0,28.0,27.52,27.71,-8.139999,-22.523518,3.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00640000,2026-03-09 14:14:42+00:00,640.0,23.49,26.53,26.77,-11.640001,-33.134075,35.0,17,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00642000,2026-03-09 14:11:36+00:00,642.0,21.24,24.38,24.57,-10.139999,-32.313576,4.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00643000,2026-03-06 17:45:32+00:00,643.0,30.61,23.55,23.75,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00644000,2026-03-09 13:33:15+00:00,644.0,23.2,22.38,22.78,-6.5999985,-22.147648,3.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00645000,2026-03-06 21:10:32+00:00,645.0,19.66,21.55,21.9,-8.24,-29.53405,11.0,20,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00646000,2026-03-09 14:33:51+00:00,646.0,19.22,20.45,20.82,-8.51,-30.688786,8.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00648000,2026-03-09 14:05:49+00:00,648.0,17.55,18.73,19.11,-8.390001,-32.343876,253.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00650000,2026-03-09 14:37:58+00:00,650.0,16.5,16.68,16.9,-7.7800007,-32.042835,420.0,27,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00651000,2026-03-09 13:58:27+00:00,651.0,13.5,15.82,15.99,-10.32,-43.324936,23.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00652000,2026-03-09 13:38:31+00:00,652.0,13.51,14.95,15.13,-9.9,-42.289616,17.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00653000,2026-03-09 14:15:17+00:00,653.0,12.05,14.18,14.37,-10.3,-46.08501,7.0,6,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00654000,2026-03-09 14:34:31+00:00,654.0,12.27,13.37,13.57,-7.779999,-38.802986,36.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00655000,2026-03-09 14:38:31+00:00,655.0,12.39,12.45,12.67,-7.589999,-37.987988,46.0,43,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00656000,2026-03-09 14:25:35+00:00,656.0,10.98,11.66,11.83,-8.130001,-42.543175,42.0,65,1.0000000000000003e-05,True,REGULAR,USD
SPY260310C00657000,2026-03-09 14:32:42+00:00,657.0,9.81,10.8,11.0,-15.44,-61.148514,56.0,1,0.1289149609375,True,REGULAR,USD
SPY260310C00658000,2026-03-09 14:38:34+00:00,658.0,9.97,9.97,10.15,-6.249999,-38.53267,91.0,14,0.14405152832031248,True,REGULAR,USD
SPY260310C00659000,2026-03-09 14:39:08+00:00,659.0,9.35,9.2,9.35,-6.24,-40.025658,153.0,3,0.15528188476562502,True,REGULAR,USD
SPY260310C00660000,2026-03-09 14:39:02+00:00,660.0,8.6,8.48,8.59,-7.779999,-47.49694,1113.0,190,0.16407085937500002,True,REGULAR,USD
SPY260310C00661000,2026-03-09 14:30:12+00:00,661.0,6.86,7.7,7.83,-9.779999,-58.774033,661.0,7,0.16834327758789067,True,REGULAR,USD
SPY260310C00662000,2026-03-09 14:39:26+00:00,662.0,7.1,7.02,7.11,-8.530001,-54.574535,1327.0,308,0.17212741943359378,True,REGULAR,USD
SPY260310C00663000,2026-03-09 14:39:15+00:00,663.0,6.55,6.37,6.47,-8.54,-56.59377,6509.0,16,0.17774259765625,True,REGULAR,USD
SPY260310C00664000,2026-03-09 14:39:23+00:00,664.0,5.87,5.75,5.82,-5.95,-50.33841,9674.0,49,0.1800008758544922,True,REGULAR,USD
SPY260310C00665000,2026-03-09 14:39:31+00:00,665.0,5.19,5.17,5.19,-5.9599996,-53.500896,17891.0,674,0.18091639404296872,True,REGULAR,USD
SPY260310C00666000,2026-03-09 14:39:26+00:00,666.0,4.57,4.57,4.6,-6.69,-59.308506,15335.0,145,0.1815267395019531,True,REGULAR,USD
SPY260310C00667000,2026-03-09 14:39:27+00:00,667.0,4.03,4.03,4.04,-5.7499995,-58.793453,6479.0,569,0.1815267395019531,True,REGULAR,USD
SPY260310C00668000,2026-03-09 14:39:18+00:00,668.0,3.6,3.51,3.53,-5.44,-60.17699,5343.0,869,0.18177087768554687,False,REGULAR,USD
SPY260310C00669000,2026-03-09 14:39:09+00:00,669.0,3.08,3.07,3.09,-5.21,-62.922707,4018.0,263,0.18323570678710935,False,REGULAR,USD
SPY260310C00670000,2026-03-09 14:39:34+00:00,670.0,2.62,2.61,2.63,-5.35,-66.9587,10836.0,790,0.1815267395019531,False,REGULAR,USD
SPY260310C00671000,2026-03-09 14:39:28+00:00,671.0,2.23,2.24,2.25,-5.09,-69.535515,3943.0,636,0.18177087768554687,False,REGULAR,USD
SPY260310C00672000,2026-03-09 14:39:05+00:00,672.0,1.93,1.93,1.94,-4.76,-71.04478,4404.0,1230,0.1834798449707031,False,REGULAR,USD
SPY260310C00673000,2026-03-09 14:39:03+00:00,673.0,1.6,1.6,1.62,-4.56,-73.906,7868.0,1126,0.18262536132812499,False,REGULAR,USD
SPY260310C00674000,2026-03-09 14:39:26+00:00,674.0,1.3,1.29,1.31,-4.29,-76.74419,3076.0,889,0.17981777221679687,False,REGULAR,USD
SPY260310C00675000,2026-03-09 14:39:23+00:00,675.0,1.07,1.05,1.07,-3.94,-78.64271,6094.0,2116,0.17896328857421873,False,REGULAR,USD
SPY260310C00676000,2026-03-09 14:39:21+00:00,676.0,0.86,0.86,0.87,-3.6399999,-80.888885,7863.0,2535,0.17847501220703127,False,REGULAR,USD
SPY260310C00677000,2026-03-09 14:39:24+00:00,677.0,0.68,0.68,0.69,-3.28,-82.41206,4194.0,1815,0.1772543212890625,False,REGULAR,USD
SPY260310C00678000,2026-03-09 14:38:32+00:00,678.0,0.54,0.54,0.55,-2.96,-84.57143,4572.0,1046,0.17688811401367188,False,REGULAR,USD
SPY260310C00679000,2026-03-09 14:38:45+00:00,679.0,0.43,0.43,0.44,-2.61,-85.85526,3211.0,1948,0.1772543212890625,False,REGULAR,USD
SPY260310C00680000,2026-03-09 14:38:22+00:00,680.0,0.33,0.33,0.34,-2.3100002,-87.8327,6260.0,5718,0.17627776855468752,False,REGULAR,USD
SPY260310C00681000,2026-03-09 14:37:27+00:00,681.0,0.25,0.26,0.27,-2.02,-88.986786,3136.0,1307,0.1772543212890625,False,REGULAR,USD
SPY260310C00682000,2026-03-09 14:38:22+00:00,682.0,0.21,0.2,0.21,-1.7099999,-89.528786,2537.0,1774,0.1772543212890625,False,REGULAR,USD
SPY260310C00683000,2026-03-09 14:38:41+00:00,683.0,0.16,0.15,0.16,-1.45,-90.06211,1313.0,1625,0.1772543212890625,False,REGULAR,USD
SPY260310C00684000,2026-03-09 14:38:26+00:00,684.0,0.13,0.11,0.12,-1.19,-90.15152,1762.0,2262,0.176766044921875,False,REGULAR,USD
SPY260310C00685000,2026-03-09 14:39:36+00:00,685.0,0.09,0.09,0.1,-0.9699999,-90.654205,1856.0,5565,0.179695703125,False,REGULAR,USD
