contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260424C00600000,2026-03-06 20:09:20+00:00,600.0,81.54,73.55,73.97,0.0,0.0,10.0,10,0.3053047985839844,True,REGULAR,USD
SPY260424C00610000,2026-03-06 17:00:24+00:00,610.0,72.18,64.77,65.13,0.0,0.0,2.0,2,0.29242650939941395,True,REGULAR,USD
SPY260424C00615000,2026-03-06 15:31:11+00:00,615.0,67.46,60.79,61.15,0.0,0.0,6.0,5,0.2912668530273437,True,REGULAR,USD
SPY260424C00620000,2026-03-06 16:48:26+00:00,620.0,63.42,56.2,56.62,0.0,0.0,2.0,2,0.28076891113281244,True,REGULAR,USD
SPY260424C00625000,2026-03-09 14:11:08+00:00,625.0,50.71,52.23,52.69,-7.799999,-13.331054,1.0,27,0.27780873565673825,True,REGULAR,USD
SPY260424C00630000,2026-03-06 19:10:47+00:00,630.0,55.05,48.0,48.35,0.0,0.0,80.0,79,0.2681347601318359,True,REGULAR,USD
SPY260424C00635000,2026-03-09 14:33:11+00:00,635.0,43.54,43.99,44.3,-6.450001,-12.902581,1.0,156,0.2612073391723633,True,REGULAR,USD
SPY260424C00640000,2026-03-09 14:21:35+00:00,640.0,39.04,40.3,40.5,-6.59,-14.442252,2.0,391,0.2561109545898438,True,REGULAR,USD
SPY260424C00645000,2026-03-06 17:30:19+00:00,645.0,41.84,36.48,36.84,0.0,0.0,154.0,152,0.2512281909179687,True,REGULAR,USD
SPY260424C00650000,2026-03-09 14:33:48+00:00,650.0,32.15,32.74,32.94,-5.3799973,-14.335193,93.0,333,0.242195078125,True,REGULAR,USD
SPY260424C00655000,2026-03-06 21:06:56+00:00,655.0,33.76,29.08,29.35,0.0,0.0,77.0,76,0.2352371398925781,True,REGULAR,USD
SPY260424C00657000,2026-03-06 16:27:07+00:00,657.0,32.57,27.41,27.84,0.0,0.0,402.0,201,0.23120885986328127,True,REGULAR,USD
SPY260424C00660000,2026-03-09 13:51:19+00:00,660.0,25.0,25.59,25.86,-5.049999,-16.805323,8.0,152,0.2277604080200195,True,REGULAR,USD
SPY260424C00664000,2026-03-09 13:55:32+00:00,664.0,22.5,23.06,23.16,-5.209999,-18.801872,12.0,1,0.22155014297485348,True,REGULAR,USD
SPY260424C00665000,2026-03-09 14:38:11+00:00,665.0,22.37,22.47,22.56,-4.4699993,-16.654245,48.0,3,0.22060410751342768,True,REGULAR,USD
SPY260424C00667000,2026-03-09 14:11:09+00:00,667.0,20.0,21.14,21.24,-6.3199997,-24.012157,11.0,1,0.21723194885253905,True,REGULAR,USD
SPY260424C00670000,2026-03-09 14:25:24+00:00,670.0,18.9,19.26,19.35,-4.42,-18.953688,17.0,22,0.21253228881835937,False,REGULAR,USD
SPY260424C00671000,2026-03-06 20:36:41+00:00,671.0,18.6,18.63,18.72,-3.67,-16.479568,9.0,42,0.2108080628967285,False,REGULAR,USD
SPY260424C00672000,2026-03-09 14:11:08+00:00,672.0,17.0,18.03,18.13,-5.200001,-23.423426,5.0,15,0.20941952697753902,False,REGULAR,USD
SPY260424C00673000,2026-03-09 13:37:21+00:00,673.0,17.56,17.38,17.47,-3.5699997,-16.895409,2.0,34,0.20722228332519527,False,REGULAR,USD
SPY260424C00674000,2026-03-09 13:55:46+00:00,674.0,16.27,16.77,16.84,-4.41,-21.324951,52.0,51,0.20523866058349605,False,REGULAR,USD
SPY260424C00675000,2026-03-09 13:55:46+00:00,675.0,15.69,16.24,16.33,-4.9900007,-24.129597,59.0,122,0.20441469421386715,False,REGULAR,USD
SPY260424C00676000,2026-03-09 13:55:45+00:00,676.0,15.13,15.62,15.71,-4.5700006,-23.197971,109.0,55,0.20237003692626948,False,REGULAR,USD
SPY260424C00677000,2026-03-09 13:55:45+00:00,677.0,14.57,15.03,15.12,-4.370001,-23.072866,51.0,46,0.2005390005493164,False,REGULAR,USD
SPY260424C00677500,2026-03-09 14:18:08+00:00,677.5,14.03,14.77,14.86,-4.260001,-23.291422,152.0,11,0.19994391372680664,False,REGULAR,USD
SPY260424C00678000,2026-03-09 14:10:47+00:00,678.0,13.81,14.49,14.57,-4.2300005,-23.447895,53.0,7,0.19901313690185546,False,REGULAR,USD
SPY260424C00679000,2026-03-09 14:00:33+00:00,679.0,13.3,13.92,14.01,-4.7200003,-26.19312,87.0,64,0.19730416961669922,False,REGULAR,USD
SPY260424C00680000,2026-03-09 14:21:21+00:00,680.0,12.59,13.38,13.46,-5.119999,-28.910215,19.0,148,0.19559520233154298,False,REGULAR,USD
SPY260424C00681000,2026-03-06 20:57:31+00:00,681.0,16.8,12.82,12.9,0.0,0.0,2.0,10,0.19368787277221683,False,REGULAR,USD
SPY260424C00682000,2026-03-09 13:58:41+00:00,682.0,11.93,12.31,12.4,-4.0199995,-25.203758,101.0,169,0.19231459548950197,False,REGULAR,USD
SPY260424C00682500,2026-03-06 20:57:31+00:00,682.5,15.9,12.03,12.12,0.0,0.0,34.0,36,0.19126174957275394,False,REGULAR,USD
SPY260424C00683000,2026-03-09 14:31:41+00:00,683.0,11.55,11.78,11.86,-6.2,-34.929577,1.0,10,0.19040726593017582,False,REGULAR,USD
SPY260424C00684000,2026-03-09 13:41:34+00:00,684.0,11.05,11.27,11.35,-3.7299995,-25.236803,3.0,17,0.18869829864501952,False,REGULAR,USD
SPY260424C00685000,2026-03-09 14:36:53+00:00,685.0,10.7,10.8,10.89,-3.1599998,-22.799423,42.0,52,0.18744709045410157,False,REGULAR,USD
