contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261218P00150000,2026-03-09 14:06:30+00:00,150.0,0.43,0.41,0.44,0.030000001,7.5,307.0,19331,0.6882355395507813,False,REGULAR,USD
SPY261218P00200000,2026-03-09 13:58:19+00:00,200.0,0.81,0.83,0.85,0.13999999,20.89552,28.0,5488,0.6101113208007813,False,REGULAR,USD
SPY261218P00210000,2026-03-09 14:31:52+00:00,210.0,0.95,0.93,0.95,0.13999999,17.283949,3.0,677,0.59570716796875,False,REGULAR,USD
SPY261218P00220000,2026-03-09 13:32:57+00:00,220.0,1.08,1.04,1.07,0.07000005,6.9306984,1092.0,1133,0.5822795678710937,False,REGULAR,USD
SPY261218P00230000,2026-03-09 13:42:32+00:00,230.0,1.16,1.16,1.18,0.06999993,6.422012,360.0,3667,0.5687298986816407,False,REGULAR,USD
SPY261218P00240000,2026-03-09 14:05:44+00:00,240.0,1.33,1.29,1.32,0.07000005,5.5555596,2194.0,39338,0.5564009204101563,False,REGULAR,USD
SPY261218P00245000,2026-03-09 14:21:00+00:00,245.0,1.42,1.37,1.4,0.21999991,18.333324,10.0,280,0.5507857421875001,False,REGULAR,USD
SPY261218P00250000,2026-03-09 14:12:43+00:00,250.0,1.5,1.42,1.45,0.100000024,7.1428585,47.0,2685,0.5434615966796876,False,REGULAR,USD
SPY261218P00255000,2026-03-03 15:11:57+00:00,255.0,1.32,1.5,1.53,0.0,0.0,34.0,1469,0.5377243493652344,False,REGULAR,USD
SPY261218P00260000,2026-03-09 14:02:28+00:00,260.0,1.56,1.57,1.6,0.14999998,10.638297,6.0,4675,0.5314988256835937,False,REGULAR,USD
SPY261218P00265000,2026-03-06 14:47:06+00:00,265.0,1.51,1.67,1.7,0.0,0.0,10.0,155,0.5266160620117188,False,REGULAR,USD
SPY261218P00270000,2026-03-06 14:34:35+00:00,270.0,1.53,1.73,1.77,0.0,0.0,2.0,476,0.519963296508789,False,REGULAR,USD
SPY261218P00275000,2026-03-06 14:40:20+00:00,275.0,1.62,1.81,1.84,0.0,0.0,1.0,5424,0.5137988073730468,False,REGULAR,USD
SPY261218P00280000,2026-03-06 16:02:26+00:00,280.0,1.62,1.9,1.93,0.0,0.0,102.0,862,0.5082446636962892,False,REGULAR,USD
SPY261218P00285000,2026-03-09 13:30:36+00:00,285.0,1.93,2.0,2.03,0.15999997,9.039546,11.0,184,0.503056727294922,False,REGULAR,USD
SPY261218P00290000,2026-03-09 14:17:08+00:00,290.0,2.15,2.07,2.11,0.5200001,31.901848,10.0,2049,0.4975636181640626,False,REGULAR,USD
SPY261218P00295000,2026-03-09 13:48:48+00:00,295.0,2.16,2.15,2.18,0.22000003,11.340208,5.0,196,0.4910329217529297,False,REGULAR,USD
SPY261218P00300000,2026-03-09 14:22:06+00:00,300.0,2.35,2.24,2.28,0.14999986,6.8181753,29.0,4871,0.48566188171386715,False,REGULAR,USD
SPY261218P00305000,2026-03-06 21:07:34+00:00,305.0,2.29,2.33,2.37,-0.00999999,-0.4347822,1.0,198,0.47986359985351557,False,REGULAR,USD
SPY261218P00310000,2026-03-06 17:25:47+00:00,310.0,2.16,2.44,2.47,0.0,0.0,3.0,201,0.4743094561767578,False,REGULAR,USD
SPY261218P00315000,2026-03-06 14:52:05+00:00,315.0,2.3,2.55,2.59,0.0,0.0,1.0,534,0.4694266925048829,False,REGULAR,USD
SPY261218P00320000,2026-03-09 14:33:24+00:00,320.0,2.72,2.63,2.67,0.4100001,17.748922,10.0,1729,0.46320116882324225,False,REGULAR,USD
SPY261218P00325000,2026-03-06 20:38:43+00:00,325.0,2.6,2.75,2.79,0.0,0.0,100.0,2988,0.45819633605957044,False,REGULAR,USD
SPY261218P00330000,2026-03-05 19:08:31+00:00,330.0,2.94,2.84,2.88,0.59000015,25.10639,2.0,789,0.4522149505615235,False,REGULAR,USD
SPY261218P00335000,2026-03-06 20:57:34+00:00,335.0,2.92,2.96,3.0,0.0,0.0,3.0,357,0.4470880487060547,False,REGULAR,USD
SPY261218P00340000,2026-03-09 14:21:50+00:00,340.0,3.2,3.07,3.11,0.37000012,13.074209,3.0,3037,0.44165597412109375,False,REGULAR,USD
SPY261218P00345000,2026-03-03 19:07:20+00:00,345.0,2.55,3.2,3.25,0.0,0.0,1.0,322,0.43695631408691404,False,REGULAR,USD
SPY261218P00350000,2026-03-06 17:50:37+00:00,350.0,2.98,3.33,3.37,0.0,0.0,25.0,4558,0.43164630859375,False,REGULAR,USD
SPY261218P00355000,2026-03-06 20:36:36+00:00,355.0,3.25,3.45,3.5,0.0,0.0,1.0,1069,0.4265804412841797,False,REGULAR,USD
SPY261218P00360000,2026-02-19 18:56:59+00:00,360.0,2.79,3.57,3.62,0.0,0.0,5.0,1943,0.4212094012451172,False,REGULAR,USD
