contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260319C00530000,2026-03-06 18:45:05+00:00,530.0,145.69,135.62,138.85,0.0,0.0,2.0,2,0.7077665942382813,True,REGULAR,USD
SPY260319C00560000,2026-03-06 18:46:19+00:00,560.0,115.93,105.96,109.23,0.0,0.0,2.0,2,0.603763728027344,True,REGULAR,USD
SPY260319C00615000,2026-03-05 15:14:19+00:00,615.0,72.4,53.71,54.1,0.0,0.0,,2,0.32141791870117187,True,REGULAR,USD
SPY260319C00650000,2026-03-09 14:08:26+00:00,650.0,22.23,23.21,23.6,-6.700001,-23.159351,2.0,30,0.2761302856445312,True,REGULAR,USD
SPY260319C00655000,2026-03-06 21:10:24+00:00,655.0,18.36,19.49,19.77,-6.619999,-26.501196,35.0,33,0.26581544738769536,True,REGULAR,USD
SPY260319C00656000,2026-03-06 17:48:49+00:00,656.0,24.74,18.8,19.15,0.0,0.0,1.0,1,0.26654786193847657,True,REGULAR,USD
SPY260319C00660000,2026-03-09 13:39:03+00:00,660.0,16.0,16.12,16.24,-5.76,-26.470589,4.0,7,0.2567518173217773,True,REGULAR,USD
SPY260319C00661000,2026-03-09 14:29:11+00:00,661.0,14.43,15.43,15.55,-5.7199993,-28.387094,30.0,8,0.2545545736694337,True,REGULAR,USD
SPY260319C00662000,2026-03-09 14:31:19+00:00,662.0,14.07,14.71,14.81,-6.1800003,-30.518518,172.0,75,0.25098405273437496,True,REGULAR,USD
SPY260319C00663000,2026-03-09 14:32:57+00:00,663.0,13.66,14.03,14.15,-5.3899994,-28.29396,67.0,141,0.24890887817382812,True,REGULAR,USD
SPY260319C00664000,2026-03-09 14:26:33+00:00,664.0,12.8,13.48,13.6,-5.9900007,-31.87866,31.0,3,0.249030947265625,True,REGULAR,USD
SPY260319C00665000,2026-03-09 14:38:16+00:00,665.0,12.83,12.92,12.98,-5.0699997,-28.32402,282.0,106,0.2472609454345703,True,REGULAR,USD
SPY260319C00666000,2026-03-09 14:37:03+00:00,666.0,12.1,12.24,12.3,-5.3099995,-30.49971,123.0,11,0.24393456268310548,True,REGULAR,USD
SPY260319C00667000,2026-03-09 14:36:52+00:00,667.0,11.55,11.68,11.74,-5.1099997,-30.672268,129.0,11,0.24292749267578123,True,REGULAR,USD
SPY260319C00668000,2026-03-09 14:25:51+00:00,668.0,10.56,10.99,11.06,-5.0699997,-32.43762,301.0,80,0.23899076446533202,True,REGULAR,USD
SPY260319C00669000,2026-03-09 14:31:02+00:00,669.0,9.92,10.45,10.51,-6.120001,-38.154613,98.0,298,0.2375564526367187,False,REGULAR,USD
SPY260319C00670000,2026-03-09 14:38:24+00:00,670.0,9.89,9.9,9.95,-4.2299995,-29.957502,169.0,244,0.23563386444091794,False,REGULAR,USD
SPY260319C00671000,2026-03-09 14:14:31+00:00,671.0,8.86,9.24,9.32,-4.7400007,-34.852943,37.0,276,0.2318497225952148,False,REGULAR,USD
SPY260319C00672000,2026-03-09 14:31:05+00:00,672.0,8.31,8.7,8.78,-4.839999,-36.806076,75.0,293,0.2296829962158203,False,REGULAR,USD
SPY260319C00673000,2026-03-09 14:30:51+00:00,673.0,7.76,8.22,8.28,-4.7699995,-38.06863,112.0,486,0.2280350634765625,False,REGULAR,USD
SPY260319C00674000,2026-03-09 14:31:05+00:00,674.0,7.3,7.73,7.77,-4.4299994,-37.766407,102.0,454,0.22583781982421874,False,REGULAR,USD
SPY260319C00675000,2026-03-09 14:38:11+00:00,675.0,7.21,7.21,7.26,-3.96,-35.452103,437.0,1060,0.22327436889648436,False,REGULAR,USD
