contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261231P00485000,2026-03-06 20:33:12+00:00,485.0,9.9,9.61,9.71,0.8399992,9.271514,3.0,186,0.30751730087280266,False,REGULAR,USD
SPY261231P00490000,2026-03-09 13:33:43+00:00,490.0,10.24,10.0,10.08,1.4399996,16.36363,2.0,664,0.30356531402587883,False,REGULAR,USD
SPY261231P00495000,2026-03-09 14:21:01+00:00,495.0,10.78,10.41,10.51,0.72999954,7.263677,1.0,52,0.30005582763671873,False,REGULAR,USD
SPY261231P00500000,2026-03-09 14:11:27+00:00,500.0,11.1,10.87,10.96,0.5500002,5.2132716,4.0,588,0.29657685852050775,False,REGULAR,USD
SPY261231P00505000,2026-03-06 17:05:58+00:00,505.0,10.01,11.33,11.42,0.0,0.0,2.0,123,0.29303685485839837,False,REGULAR,USD
SPY261231P00510000,2026-03-06 16:34:24+00:00,510.0,10.58,11.81,11.92,0.0,0.0,2.0,33,0.28969521347045896,False,REGULAR,USD
SPY261231P00515000,2026-03-06 20:29:18+00:00,515.0,11.55,12.31,12.42,0.0,0.0,25.0,41,0.2862009857177734,False,REGULAR,USD
SPY261231P00520000,2026-03-09 14:11:52+00:00,520.0,13.58,12.8,12.89,1.25,10.137876,10.0,99,0.28232529205322265,False,REGULAR,USD
SPY261231P00525000,2026-03-06 19:12:58+00:00,525.0,11.99,13.35,13.43,0.0,0.0,3.0,146,0.2788463229370117,False,REGULAR,USD
SPY261231P00530000,2026-03-09 14:05:55+00:00,530.0,14.52,13.95,14.05,4.26,41.52047,2.0,345,0.27580985427856436,False,REGULAR,USD
SPY261231P00535000,2026-03-05 16:12:52+00:00,535.0,11.92,14.56,14.66,0.0,0.0,1.0,387,0.2725139888000488,False,REGULAR,USD
SPY261231P00540000,2026-03-09 13:32:53+00:00,540.0,15.15,15.14,15.26,1.5,10.989012,1.0,192,0.26900450241088864,False,REGULAR,USD
SPY261231P00545000,2026-03-06 17:09:07+00:00,545.0,14.29,15.85,15.98,0.0,0.0,1.0,44,0.2661206201171875,False,REGULAR,USD
SPY261231P00550000,2026-03-09 14:08:34+00:00,550.0,17.2,16.54,16.66,1.2800007,8.040205,103.0,893,0.2627942373657227,False,REGULAR,USD
SPY261231P00555000,2026-03-03 14:31:27+00:00,555.0,15.06,17.22,17.35,0.0,0.0,2.0,268,0.2593610441589356,False,REGULAR,USD
SPY261231P00560000,2026-03-06 14:55:36+00:00,560.0,17.11,17.97,18.1,0.0,0.0,2.0,391,0.2561262132263184,False,REGULAR,USD
SPY261231P00565000,2026-03-02 16:38:01+00:00,565.0,14.47,18.73,18.86,0.0,0.0,3.0,26,0.25276931320190427,False,REGULAR,USD
SPY261231P00570000,2026-03-09 13:56:00+00:00,570.0,20.17,19.55,19.69,1.2199993,6.4379907,5.0,152,0.24964892204284667,False,REGULAR,USD
SPY261231P00575000,2026-03-09 13:48:55+00:00,575.0,20.95,20.36,20.49,1.4800014,7.601446,2.0,166,0.24616232360839846,False,REGULAR,USD
SPY261231P00580000,2026-03-04 15:22:08+00:00,580.0,15.92,21.21,21.35,0.0,0.0,2.0,96,0.24282068222045894,False,REGULAR,USD
