contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY270617P00050000,2026-03-05 20:49:03+00:00,50.0,0.07,0.05,0.09,0.0,0.0,27.0,410,0.7812521875,False,REGULAR,USD
SPY270617P00055000,2026-02-02 20:18:24+00:00,55.0,0.06,0.06,0.1,0.0,0.0,2.0,7,0.7597680273437502,False,REGULAR,USD
SPY270617P00060000,2026-03-05 16:17:40+00:00,60.0,0.08,0.07,0.1,0.0,0.0,60.0,61,0.73633076171875,False,REGULAR,USD
SPY270617P00065000,2026-03-09 14:10:57+00:00,65.0,0.1,0.09,0.13,-0.009999998,-9.090907,5.0,20,0.72851833984375,False,REGULAR,USD
SPY270617P00070000,2026-03-05 17:13:56+00:00,70.0,0.11,0.11,0.15,0.0,0.0,5.0,31,0.71679970703125,False,REGULAR,USD
SPY270617P00075000,2026-03-06 14:31:15+00:00,75.0,0.14,0.13,0.17,0.0,0.0,1.0,37,0.7041045214843751,False,REGULAR,USD
SPY270617P00080000,2026-02-20 17:58:55+00:00,80.0,0.13,0.15,0.19,0.0,0.0,1.0,32,0.6914093359375001,False,REGULAR,USD
SPY270617P00085000,2026-02-03 14:39:08+00:00,85.0,0.12,0.18,0.21,0.0,0.0,5.0,15,0.6806672558593752,False,REGULAR,USD
SPY270617P00090000,2026-02-19 20:12:58+00:00,90.0,0.16,0.21,0.25,0.0,0.0,10.0,16,0.6733431103515627,False,REGULAR,USD
SPY270617P00095000,2026-02-23 17:40:59+00:00,95.0,0.17,0.24,0.28,0.0,0.0,2.0,1,0.6635775830078127,False,REGULAR,USD
SPY270617P00100000,2026-02-20 17:40:42+00:00,100.0,0.2,0.26,0.3,0.0,0.0,5.0,356,0.6513706738281251,False,REGULAR,USD
SPY270617P00105000,2026-02-20 18:15:12+00:00,105.0,0.23,0.29,0.33,0.0,0.0,1.0,1,0.641605146484375,False,REGULAR,USD
SPY270617P00115000,2026-02-17 17:05:21+00:00,115.0,0.29,0.37,0.41,0.0,0.0,1.0,5,0.6264685791015626,False,REGULAR,USD
SPY270617P00120000,2026-02-25 19:19:31+00:00,120.0,0.3,0.41,0.45,0.0,0.0,3.0,4,0.6184120190429689,False,REGULAR,USD
SPY270617P00135000,2026-01-20 14:36:00+00:00,135.0,0.38,0.55,0.59,0.0,0.0,7.0,110,0.5964395825195312,False,REGULAR,USD
SPY270617P00140000,2026-01-08 21:09:55+00:00,140.0,0.38,0.43,0.45,0.0,0.0,,5,0.5649457568359376,False,REGULAR,USD
SPY270617P00145000,2025-11-05 20:00:07+00:00,145.0,0.61,0.0,0.0,0.0,0.0,,4,0.2500075,False,REGULAR,USD
SPY270617P00150000,2026-03-05 19:27:28+00:00,150.0,0.7,0.72,0.76,0.13,22.807018,1.0,377,0.5766643896484375,False,REGULAR,USD
SPY270617P00160000,2026-03-05 15:36:38+00:00,160.0,0.67,0.82,0.86,0.0,0.0,,1,0.5617719604492188,False,REGULAR,USD
SPY270617P00170000,2026-03-06 15:28:17+00:00,170.0,0.84,0.94,0.98,0.0,0.0,6.0,6,0.5485884985351563,False,REGULAR,USD
SPY270617P00175000,2025-11-13 19:55:02+00:00,175.0,1.0,0.0,0.0,0.0,0.0,,1,0.2500075,False,REGULAR,USD
SPY270617P00180000,2025-11-13 19:00:38+00:00,180.0,1.06,0.0,0.0,0.0,0.0,,1,0.2500075,False,REGULAR,USD
SPY270617P00185000,2026-02-27 20:10:48+00:00,185.0,0.9,1.14,1.18,0.0,0.0,10.0,10,0.5299119274902344,False,REGULAR,USD
SPY270617P00190000,2026-03-03 14:38:42+00:00,190.0,1.02,1.21,1.25,0.0,0.0,,10,0.5238084729003907,False,REGULAR,USD
SPY270617P00195000,2026-03-03 14:38:29+00:00,195.0,1.08,1.28,1.32,0.0,0.0,10.0,11,0.5176439837646485,False,REGULAR,USD
SPY270617P00200000,2026-03-06 20:59:44+00:00,200.0,1.31,1.36,1.39,0.0,0.0,30.0,247,0.5117236328125,False,REGULAR,USD
SPY270617P00205000,2026-03-06 16:06:28+00:00,205.0,1.26,1.44,1.47,0.0,0.0,6.0,81,0.5061084545898438,False,REGULAR,USD
